563,73,7
525,69,5
561,74,5
376,100,5
431,66,5
463,43,5
475,90,5
513,74,4
523,43,4
526,32,4
544,61,4
545,46,4
558,19,4
570,35,4
378,53,4
388,38,4
391,56,4
397,47,4
408,55,4
412,89,4
414,45,4
419,57,4
420,27,4
421,25,4
432,55,4
449,10,4
450,22,4
452,42,4
455,37,4
460,66,4
461,46,4
471,31,4
500,74,4
512,29,3
514,60,3
515,54,3
517,72,3
520,50,3
521,15,3
524,57,3
527,46,3
531,40,3
533,6,3
534,8,3
535,12,3
536,22,3
538,52,3
541,10,3
542,54,3
543,21,3
548,32,3
553,75,3
560,30,3
565,20,3
566,61,3
568,12,3
569,15,3
198,10,3
352,23,3
360,43,3
362,19,3
363,52,3
366,50,3
367,32,3
368,34,3
369,26,3
370,64,3
371,5,3
373,79,3
374,64,3
387,36,3
390,6,3
395,65,3
398,33,3
400,62,3
402,57,3
404,51,3
405,11,3
409,34,3
413,17,3
415,26,3
416,21,3
425,19,3
428,73,3
430,38,3
434,30,3
436,47,3
438,60,3
439,43,3
444,47,3
445,27,3
446,18,3
448,3,3
451,25,3
456,61,3
458,26,3
462,19,3
465,70,3
473,32,3
474,20,3
478,8,3
479,37,3
480,6,3
482,34,3
484,51,3
488,28,3
492,55,3
493,56,3
494,23,3
495,23,3
496,35,3
497,83,3
503,58,3
504,43,3
506,67,3
507,65,3
508,16,3
510,26,3
511,30,3
516,20,2
518,19,2
519,25,2
522,11,2
528,13,2
530,4,2
537,40,2
34,4,2
547,32,2
549,7,2
551,17,2
554,18,2
555,38,2
556,43,2
557,37,2
559,73,2
562,5,2
567,48,2
173,6,2
546,30,2
349,5,2
350,21,2
353,53,2
354,26,2
355,39,2
357,18,2
359,26,2
361,23,2
372,17,2
375,17,2
380,11,2
381,12,2
382,12,2
389,20,2
392,39,2
394,31,2
396,27,2
403,20,2
407,15,2
410,15,2
417,62,2
418,23,2
423,44,2
424,17,2
426,18,2
427,9,2
433,10,2
435,10,2
440,14,2
453,5,2
457,20,2
459,10,2
469,22,2
470,16,2
476,6,2
477,12,2
481,27,2
483,72,2
485,5,2
486,16,2
487,33,2
489,24,2
490,13,2
491,11,2
502,11,2
505,13,2
509,15,2
529,9,1
532,10,1
539,22,1
540,8,1
564,9,1
571,3,1
572,4,1
351,5,1
356,3,1
358,1,1
364,9,1
365,6,1
377,2,1
379,2,1
383,3,1
385,8,1
393,7,1
399,8,1
406,4,1
411,3,1
422,33,1
429,10,1
437,10,1
441,8,1
442,12,1
447,1,1
454,3,1
466,9,1
467,4,1
468,2,1
472,5,1
498,6,1
499,3,1
501,8,1
550,1,0
552,4,0
1025,1,0
107,1,0
384,4,0
386,3,0
401,2,0
443,2,0
464,5,0
